"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Scup","Atlantic","bbmsy","Population","2006-2010 vs historic mean",6.68933327992757,2,22,8,0.0909090909090909,5.99135793162291,5,53,"Scup - Atlantic","Scup, 5.99"
"Scup","Atlantic","bbmsy","Population","2007-2011 vs historic mean",7.04099988937378,2,32,8,0.0625,6.03640067689607,4,53,"Scup - Atlantic","Scup, 6.04"
"Scup","Atlantic","bbmsy","Population","2008-2012 vs historic mean",7.28799991607666,2,32,8,0.0625,6.1042057980422,4,53,"Scup - Atlantic","Scup, 6.1"
"Scup","Atlantic","bbmsy","Population","2009-2013 vs historic mean",7.28799991607666,2,34,8,0.0588235294117647,6.69419622123607,10,53,"Scup - Atlantic","Scup, 6.69"
"Scup","Atlantic","bbmsy","Population","2010-2014 vs historic mean",1.60869566661932,12,36,8,0.333333333333333,6.75093388754103,10,53,"Scup - Atlantic","Scup, 6.75"
"Scup","Atlantic","bbmsy","Population","2011-2015 vs historic mean",1.5664831367176,13,36,8,0.361111111111111,7.31323095634223,14,53,"Scup - Atlantic","Scup, 7.31"
"Scup","Atlantic","bbmsy","Population","2012-2016 vs historic mean",1.42778771688129,12,38,8,0.315789473684211,7.323723857115,15,53,"Scup - Atlantic","Scup, 7.32"
"Scup","Atlantic","bbmsy","Population","2013-2017 vs historic mean",1.33205134099626,16,35,8,0.457142857142857,7.50871735791091,15,53,"Scup - Atlantic","Scup, 7.51"
"Scup","Atlantic","bbmsy","Population","2014-2018 vs historic mean",1.33205134099626,14,33,8,0.424242424242424,7.26815005403516,15,53,"Scup - Atlantic","Scup, 7.27"
"Scup","Atlantic","bbmsy","Population","2015-2019 vs historic mean",1.31196584908537,15,34,8,0.441176470588235,6.66436188227413,15,53,"Scup - Atlantic","Scup, 6.66"
"Scup","Atlantic","ffmsy","Socioeconomic","2006-2010 vs historic mean",NA,NA,NA,8,NA,5.99135793162291,5,53,"Scup - Atlantic","Scup, 5.99"
