"Species","Region","Indicator","category","Year","Value","rank","n_years_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank"
"Scup","Atlantic","bbmsy","Population","2006-2010 mean",1.85999995470047,10,10,8,1,6.07790131909714,2
"Scup","Atlantic","bbmsy","Population","2007-2011 mean",1.91466661294301,9,10,8,0.9,6.36957178957953,4
"Scup","Atlantic","bbmsy","Population","2008-2012 mean",1.95324996113777,6.5,9,8,0.65,6.35129462041227,5
"Scup","Atlantic","bbmsy","Population","2009-2013 mean",1.95324996113777,6.5,10,8,0.65,7.95490725304967,26
"Scup","Atlantic","bbmsy","Population","2010-2014 mean",1.9239999850591,8,10,8,0.8,7.4110079119367,17
"Scup","Atlantic","bbmsy","Population","2011-2015 mean",2.06266665458679,4,9.5,8,0.4,7.95796535550793,22
"Scup","Atlantic","bbmsy","Population","2012-2016 mean",2.08200001716614,1,10,8,0.1,7.49536314863327,14
"Scup","Atlantic","bbmsy","Population","2013-2017 mean",2.07800006866455,2.5,9,8,0.25,8.07345267391707,20
"Scup","Atlantic","bbmsy","Population","2014-2018 mean",2.07800006866455,2.5,10,8,0.25,7.58697937339578,17
"Scup","Atlantic","bbmsy","Population","2015-2019 mean",2.04666670163472,5,10,8,0.5,7.64075854700855,22
"Scup","Atlantic","ffmsy","Socioeconomic","2006-2010 mean",0.256999999284744,5,10,8,0.5,6.07790131909714,2
"Scup","Atlantic","ffmsy","Socioeconomic","2007-2011 mean",0.246666664878527,4,9.5,8,0.4,6.36957178957953,4
"Scup","Atlantic","ffmsy","Socioeconomic","2008-2012 mean",0.232999999076128,2.5,9,8,0.25,6.35129462041227,5
"Scup","Atlantic","ffmsy","Socioeconomic","2009-2013 mean",0.232999999076128,2.5,10,8,0.25,7.95490725304967,26
"Scup","Atlantic","ffmsy","Socioeconomic","2010-2014 mean",0.22033333281676,1,9.5,8,0.1,7.4110079119367,17
"Scup","Atlantic","ffmsy","Socioeconomic","2011-2015 mean",0.331666673223177,6,9.5,8,0.6,7.95796535550793,22
"Scup","Atlantic","ffmsy","Socioeconomic","2012-2016 mean",0.38450001180172,7,9.5,8,0.7,7.49536314863327,14
"Scup","Atlantic","ffmsy","Socioeconomic","2013-2017 mean",0.604500025510788,8.5,9.5,8,0.85,8.07345267391707,20
"Scup","Atlantic","ffmsy","Socioeconomic","2014-2018 mean",0.604500025510788,8.5,10,8,0.85,7.58697937339578,17
"Scup","Atlantic","ffmsy","Socioeconomic","2015-2019 mean",0.648000021775564,10,10,8,1,7.64075854700855,22
"Scup","Atlantic","asmt_catch","Socioeconomic","1914-1918 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1915-1919 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1916-1920 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1917-1921 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1918-1922 mean",NA,NA,NA,8,NA,1.5,3
"Scup","Atlantic","asmt_catch","Socioeconomic","1919-1923 mean",NA,NA,NA,8,NA,1.5,3
