"Species","Region","Indicator","category","Year","Value","rank","n_stocks_per_indicator","n_stocks_per_region","norm_rank","total_risk","overall_rank","overall_stocks","stock","label"
"Scup","Atlantic","bbmsy","Population","2006-2010 mean",1.67233331998189,2,34,8,0.0588235294117647,7.21201958833261,11,53,"Scup - Atlantic","Scup, 7.21"
"Scup","Atlantic","bbmsy","Population","2007-2011 mean",1.76024997234345,2,38,8,0.0526315789473684,7.37165432638627,14,53,"Scup - Atlantic","Scup, 7.37"
"Scup","Atlantic","bbmsy","Population","2008-2012 mean",1.82199997901917,2,38,8,0.0526315789473684,7.38825434940758,13,53,"Scup - Atlantic","Scup, 7.39"
"Scup","Atlantic","bbmsy","Population","2009-2013 mean",1.82199997901917,3,38,8,0.0789473684210526,7.59267712910003,16,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","bbmsy","Population","2010-2014 mean",1.9239999850591,2,39,8,0.0512820512820513,7.60233674193301,16,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","bbmsy","Population","2011-2015 mean",2.06266665458679,2,39,8,0.0512820512820513,7.7590046857904,19,53,"Scup - Atlantic","Scup, 7.76"
"Scup","Atlantic","bbmsy","Population","2012-2016 mean",2.08200001716614,3,39,8,0.0769230769230769,7.96188751724466,21,53,"Scup - Atlantic","Scup, 7.96"
"Scup","Atlantic","bbmsy","Population","2013-2017 mean",2.07800006866455,5,36,8,0.138888888888889,8.36075036075036,29,53,"Scup - Atlantic","Scup, 8.36"
"Scup","Atlantic","bbmsy","Population","2014-2018 mean",2.07800006866455,5,34,8,0.147058823529412,8.29264515923671,29,53,"Scup - Atlantic","Scup, 8.29"
"Scup","Atlantic","bbmsy","Population","2015-2019 mean",2.04666670163472,5,34,8,0.147058823529412,7.45000052922851,20,53,"Scup - Atlantic","Scup, 7.45"
"Scup","Atlantic","ffmsy","Socioeconomic","2006-2010 mean",0.273000001907349,4,27,8,0.148148148148148,7.21201958833261,11,53,"Scup - Atlantic","Scup, 7.21"
"Scup","Atlantic","ffmsy","Socioeconomic","2007-2011 mean",0.261250000447035,6,32,8,0.1875,7.37165432638627,14,53,"Scup - Atlantic","Scup, 7.37"
"Scup","Atlantic","ffmsy","Socioeconomic","2008-2012 mean",0.247400000691414,7,32,8,0.21875,7.38825434940758,13,53,"Scup - Atlantic","Scup, 7.39"
"Scup","Atlantic","ffmsy","Socioeconomic","2009-2013 mean",0.247400000691414,8,34,8,0.235294117647059,7.59267712910003,16,53,"Scup - Atlantic","Scup, 7.59"
"Scup","Atlantic","ffmsy","Socioeconomic","2010-2014 mean",0.22033333281676,8,35,8,0.228571428571429,7.60233674193301,16,53,"Scup - Atlantic","Scup, 7.6"
"Scup","Atlantic","ffmsy","Socioeconomic","2011-2015 mean",0.331666673223177,10,35,8,0.285714285714286,7.7590046857904,19,53,"Scup - Atlantic","Scup, 7.76"
"Scup","Atlantic","ffmsy","Socioeconomic","2012-2016 mean",0.38450001180172,11,35,8,0.314285714285714,7.96188751724466,21,53,"Scup - Atlantic","Scup, 7.96"
"Scup","Atlantic","ffmsy","Socioeconomic","2013-2017 mean",0.604500025510788,16,33,8,0.484848484848485,8.36075036075036,29,53,"Scup - Atlantic","Scup, 8.36"
"Scup","Atlantic","ffmsy","Socioeconomic","2014-2018 mean",0.604500025510788,15,31,8,0.483870967741935,8.29264515923671,29,53,"Scup - Atlantic","Scup, 8.29"
"Scup","Atlantic","ffmsy","Socioeconomic","2015-2019 mean",0.648000021775564,17,31,8,0.548387096774194,7.45000052922851,20,53,"Scup - Atlantic","Scup, 7.45"
"Scup","Atlantic","asmt_catch","Socioeconomic","1933-1937 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1934-1938 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1935-1939 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1936-1940 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1937-1941 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
"Scup","Atlantic","asmt_catch","Socioeconomic","1938-1942 mean",NA,NA,NA,8,NA,0.5,3,53,"Scup - Atlantic","Scup, 0.5"
