"","Species","Region","Time","Value","Metric","Warm_Core_Rings_n","cumulative_intensity_degrees_C","GLORYS_bottom_temp_anomaly_degreesC","fall_OI_SST_Anomaly_degreesC","summer_OI_SST_Anomaly_degreesC","ANNUAL_CHLOR_A_MEDIAN_mg_m__3","ANNUAL_CHLOR_A_RATIO_ANOMALY_","ANNUAL_PPD_RATIO_ANOMALY_","along_shelf_distance_km","Latitude_degreesN","Longitude_degreesW"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1999,66552,"Abundance",20,166.237,1.034883793,1.34282319743546,1.26711824126442,0.9437211,0.9519943,0.9831684,831.5220071,40.48861163,-70.68643348
"2","Acadian redfish","Gulf of Maine / Georges Bank",2000,80354,"Abundance",27,39.2719,0.540390256,-0.241543129600162,-0.121151481038613,0.8976262,1.017091,0.9936851,859.7844628,40.67540363,-70.46292463
"3","Acadian redfish","Gulf of Maine / Georges Bank",2001,94675,"Abundance",36,71.2032,0.353426606,1.00942923008285,0.494847859549331,0.8774717,0.9477208,0.9447936,842.540767,40.53551709,-70.56903206
"4","Acadian redfish","Gulf of Maine / Georges Bank",2002,109475,"Abundance",32,131.6083,0.758368165,0.341619795100712,0.997602940134591,0.9491921,1.012982,1.040084,860.6596093,40.71166794,-70.50113143
"5","Acadian redfish","Gulf of Maine / Georges Bank",2003,125063,"Abundance",42,21.9146,-0.408021732,0.0987704269845828,0.406662391579669,0.8486903,0.9485765,0.9492807,851.666238,40.59326909,-70.49614997
"6","Acadian redfish","Gulf of Maine / Georges Bank",2005,158775,"Abundance",41,71.3651,-0.685677265,0.656628661221282,0.849488471499985,0.82784,0.9380816,0.9281185,839.2541229,40.46426535,-70.5168912
"7","Acadian redfish","Gulf of Maine / Georges Bank",2006,176793,"Abundance",39,105.9147,0.269768393,0.854551247293799,0.638809691833622,0.9455219,1.061374,1.069632,855.8629659,40.65232782,-70.50544152
"8","Acadian redfish","Gulf of Maine / Georges Bank",2008,214003,"Abundance",38,18.5302,-0.194086493,0.0851158522408326,0.101643545710097,0.8929299,1.009114,0.9590678,856.632906,40.64940364,-70.47681277
"9","Acadian redfish","Gulf of Maine / Georges Bank",2009,233719,"Abundance",31,104.0666,0.466250514,0.996814994867014,0.0699975908384332,0.987779,1.041496,0.9891066,848.6868181,40.59044988,-70.54315837
"10","Acadian redfish","Gulf of Maine / Georges Bank",2010,255536,"Abundance",33,76.535,0.855895732,0.206760664877896,0.856387325378254,0.9422892,1.032939,1.022972,841.6310066,40.54577301,-70.58712033
"11","Acadian redfish","Gulf of Maine / Georges Bank",2011,280625,"Abundance",32,131.7931,0.36062931,1.39098646033625,0.370177246980571,0.9954773,1.098063,1.056592,834.7560009,40.48660363,-70.62489092
"12","Acadian redfish","Gulf of Maine / Georges Bank",2012,308901,"Abundance",31,564.295,1.884990349,1.75860165116762,1.97667790030417,1.005456,1.08015,1.145726,864.6159013,40.79419136,-70.55718802
"13","Acadian redfish","Gulf of Maine / Georges Bank",2013,339804,"Abundance",24,185.8695,1.184849764,0.785989794460354,0.893248450364702,0.9197567,1.029101,1.045096,873.4671619,40.7457291,-70.33436727
"14","Acadian redfish","Gulf of Maine / Georges Bank",2014,372523,"Abundance",25,129.855,1.220714317,1.18130367491874,1.13694078359545,1.049644,1.179043,1.076502,914.2246527,41.068272,-70.09433965
"15","Acadian redfish","Gulf of Maine / Georges Bank",2015,404690,"Abundance",33,334.2595,1.445139772,1.78277992160318,1.45937533376485,1.003051,1.047857,1.083248,868.7240872,40.70259772,-70.34962414
"16","Acadian redfish","Gulf of Maine / Georges Bank",2016,359970,"Abundance",26,297.3019,1.712813225,1.22011582046843,1.54788686516228,0.9762583,1.067489,1.099678,885.7850977,40.90619759,-70.35421539
