"","Species","Region","Time","Value","Metric","along_shelf_distance_km","Latitude_degreesN","Longitude_degreesW"
"1","Acadian redfish","Gulf of Maine / Georges Bank",1968,3178,"Recruitment",763.9461006,39.92800051,-71.05679067
"2","Acadian redfish","Gulf of Maine / Georges Bank",1969,1602,"Recruitment",772.8194373,39.94982629,-70.92603177
"3","Acadian redfish","Gulf of Maine / Georges Bank",1970,1409,"Recruitment",800.1552845,40.25623864,-70.90236215
"4","Acadian redfish","Gulf of Maine / Georges Bank",1971,1827,"Recruitment",785.8148847,40.07617506,-70.88852819
"5","Acadian redfish","Gulf of Maine / Georges Bank",1972,111985,"Recruitment",826.2890412,40.34296418,-70.56902424
"6","Acadian redfish","Gulf of Maine / Georges Bank",1973,3650,"Recruitment",782.5003425,40.26809178,-71.21432278
"7","Acadian redfish","Gulf of Maine / Georges Bank",1974,2013,"Recruitment",827.0903472,40.49509939,-70.78238938
"8","Acadian redfish","Gulf of Maine / Georges Bank",1975,1138,"Recruitment",864.6046574,40.69806276,-70.41362559
"9","Acadian redfish","Gulf of Maine / Georges Bank",1976,861,"Recruitment",799.119539,40.28174457,-70.9489
"10","Acadian redfish","Gulf of Maine / Georges Bank",1977,845,"Recruitment",791.5034065,40.23010216,-71.01285646
"11","Acadian redfish","Gulf of Maine / Georges Bank",1978,1139,"Recruitment",770.4756954,40.07543263,-71.14567166
"12","Acadian redfish","Gulf of Maine / Georges Bank",1979,25528,"Recruitment",810.6023333,40.34686385,-70.85080389
"13","Acadian redfish","Gulf of Maine / Georges Bank",1980,1065,"Recruitment",783.8278744,40.16974606,-71.06165489
"14","Acadian redfish","Gulf of Maine / Georges Bank",1981,1596,"Recruitment",797.2650564,40.24430367,-70.92722994
"15","Acadian redfish","Gulf of Maine / Georges Bank",1982,9254,"Recruitment",792.6093421,40.22615099,-70.98198855
"16","Acadian redfish","Gulf of Maine / Georges Bank",1983,12056,"Recruitment",808.0424258,40.35608863,-70.90573945
